"core","subcore","sample.label","depth_cm","depth.upr_cm","depth.lwr_cm","depth.range","age.14C","age.14C.se","count.14C","species","size.fraction","n.forams","n.forams.grp","cruise","site","age.14C.count.se","offset","age.14C.cal","age.14C.cal.se"
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8027.63445043184,123.044409053622,10429,"G. bulloides","250-400",30,"30","SO213/2","SO213-84-2",78.593440887056,0,8321,154.391932911375
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",8459.50218241456,116.335721982185,14023,"G. bulloides","250-400",30,"30","SO213/2","SO213-84-2",71.4247245188812,0,8850,174.70962204663
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",7006.99136342205,118.785173508208,12263,"G. bulloides","250-400",30,"30","SO213/2","SO213-84-2",63.2619292974132,0,7314,133.110257781992
"SO213-84-2","MUC3","MUC3_21-22",21.5,21,22,"21-22",9178.33118807044,133.121114955803,7528,"G. bulloides","250-400",30,"30","SO213/2","SO213-84-2",105.768084713681,0,9756,189.200747086257
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",6251.6646274382,145.281729597219,5472,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",84.4934200376149,0,6497,174.131966441258
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",5443.13630222334,150.433497895476,4827,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",78.3249737099806,0,5627,179.633755113982
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",7305.34614708091,139.772780277219,6374,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",91.4844527142058,0,7593,147.504405901511
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",4844.55571070568,129.800723738754,8258,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",53.2963757411915,0,4936,186.270531424035
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",7631.84010031461,152.402428088212,4737,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",110.864775044806,0,7910,168.779907240596
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",6103.4611994572,140.74128818996,6111,"G. bulloides","250-400",5,"5-6","SO213/2","SO213-84-2",78.0581852333051,0,6337,170.76521696593
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",4239.61380475645,146.107668729232,5267,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",58.4004915536933,0,4148,208.403925088469
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",5525.18088044551,131.535338175985,7873,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",62.2539902341902,0,5714,158.866999778097
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",6609.42988729757,163.708319384179,3739,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",108.066447395783,0,6894,196.649646384042
"SO213-84-2","MUC1","MUC1_1-2cm",1.5,1,2,"1-2",5065.76156894557,151.048861129078,4747,"G. bulloides","250-400",6,"5-6","SO213/2","SO213-84-2",73.5054464459068,0,5192,195.038271801926
